ID,Title,Author,Year,Format,File
1,Pada Senja yg membawamu pergi,Boy Candra,2016,PDF,ebook/Pada Senja yg membawamu pergi - Boy Candra.pdf
2,Laut Bercerita,Leila S.Chudori,2017,PDF,ebook/Laut Bercerita.pdf
3,Kamu Gak Sendiri,Syahid Muhammad,2019,PDF,ebook/Kamu Gak Sendiri.pdf
4,Marmut Merah Jambu,Raditya Dika,2010,PDF,ebook/Marmut Merah Jambu.pdf
5,Bintang,Tere Liye,2017,PDF,ebook/Bintang.pdf
6,Cantik Itu Luka,Eka Kurniawan,2015,PDF,ebook/Cantik Itu Luka.pdf
7,Ayah,Andrea Hirata,2015,PDF,ebook/Ayah.pdf
8,Pada Sebuah Kapal,Nh. Dini,2019,e-book/Pada Sebuah Kapal.pdf
9,Negeri 5 Menara,A. Fuadi,2009,e-book/Negeri 5 Menara.pdf
10,Membangun Jiwa Enterpreneur,Erick Muhammad Henrizal,2014,e-book/Membangun Jiwa Enterpreneur.pdf
11,Rangkuman Kuliah Umum,Zalfa Rahmania,2025,e-book/Rangkuman Kuliah Umum.pdf
